"di.id","year","ITEP.sector","Donor","value.x","country","value.y","diff"
"AE",2012,"other-social-services","United Arab Emirates",10836623,"United Arab Emirates",10836623,0
"AE",2012,"water-and-sanitation","United Arab Emirates",23464371,"United Arab Emirates",23464370,4.26178055231057e-08
"AE",2013,"agriculture-and-food-security","United Arab Emirates",39017095,"United Arab Emirates",39017052,1.10208102371537e-06
"AE",2013,"education","United Arab Emirates",89878683,"United Arab Emirates",89878658,2.78152718370384e-07
"AE",2013,"environment","United Arab Emirates",5496207,"United Arab Emirates",5496196,2.00138022458033e-06
"AE",2013,"general-budget-support","United Arab Emirates",2750902267,"United Arab Emirates",2750898888,1.22832426310985e-06
"AE",2013,"governance-security-and-civil-society","United Arab Emirates",4884431,,,
"AE",2013,"health","United Arab Emirates",244886055,"United Arab Emirates",244885929,5.145250104176e-07
"AE",2013,"humanitarian","United Arab Emirates",84443370,"United Arab Emirates",84443440,-8.28957915819797e-07
"AE",2013,"industry-and-trade","United Arab Emirates",912705266,"United Arab Emirates",912705480,-2.34467804637384e-07
"AE",2013,"infrastructure","United Arab Emirates",210256361,"United Arab Emirates",210256472,-5.27926952944839e-07
"AE",2013,"other","United Arab Emirates",514737653,"United Arab Emirates",514737623,5.82821167737655e-08
"AE",2013,"other-social-services","United Arab Emirates",44498650,"United Arab Emirates",44498648,4.49451837302929e-08
"AE",2013,"water-and-sanitation","United Arab Emirates",35244709,"United Arab Emirates",35244658,1.44702570817083e-06
"AE",2014,"agriculture-and-food-security","United Arab Emirates",364604379,"United Arab Emirates",364604188,5.23855474593738e-07
"AE",2014,"education","United Arab Emirates",125986978,"United Arab Emirates",125986966,9.52479390370011e-08
"AE",2014,"environment","United Arab Emirates",6474015,"United Arab Emirates",6474025,-1.54463651999571e-06
"AE",2014,"general-budget-support","United Arab Emirates",193885921,"United Arab Emirates",193886060,-7.16916418082776e-07
"AE",2014,"governance-security-and-civil-society","United Arab Emirates",6987389,,,
"AE",2014,"health","United Arab Emirates",175452059,"United Arab Emirates",175452146,-4.95861949388693e-07
"AE",2014,"humanitarian","United Arab Emirates",525301518,"United Arab Emirates",525301756,-4.53073124263074e-07
"AE",2014,"industry-and-trade","United Arab Emirates",24367826,"United Arab Emirates",24367824,8.20754383259303e-08
"AE",2014,"infrastructure","United Arab Emirates",399492345,"United Arab Emirates",399492352,-1.75222381294941e-08
"AE",2014,"other","United Arab Emirates",2584286677,"United Arab Emirates",2584288987,-8.93863680279307e-07
"AE",2014,"other-social-services","United Arab Emirates",70289320,"United Arab Emirates",70289397,-1.09547225666716e-06
"AE",2014,"water-and-sanitation","United Arab Emirates",67495676,"United Arab Emirates",67495669,1.0371034731173e-07
"AE",2015,"agriculture-and-food-security","United Arab Emirates",231272329,"United Arab Emirates",231272866,-2.32193796085307e-06
"AE",2015,"education","United Arab Emirates",109173037,"United Arab Emirates",109173019,1.64875874983674e-07
"AE",2015,"environment","United Arab Emirates",7589314,"United Arab Emirates",7589315,-1.31764214789374e-07
"AE",2015,"general-budget-support","United Arab Emirates",2303042390,"United Arab Emirates",2303038831,1.5453471527287e-06
"AE",2015,"governance-security-and-civil-society","United Arab Emirates",118750907,,,
"AE",2015,"health","United Arab Emirates",127245815,"United Arab Emirates",127245785,2.35764138883467e-07
"AE",2015,"humanitarian","United Arab Emirates",508901510,"United Arab Emirates",508901684,-3.41912917491638e-07
"AE",2015,"industry-and-trade","United Arab Emirates",76349980,"United Arab Emirates",76350066,-1.12639191261085e-06
"AE",2015,"infrastructure","United Arab Emirates",614384796,"United Arab Emirates",614384859,-1.02541600004047e-07
"AE",2015,"other","United Arab Emirates",235561434,"United Arab Emirates",235560913,2.21173725746635e-06
"AE",2015,"other-social-services","United Arab Emirates",28954911,"United Arab Emirates",28954913,-6.90729113275465e-08
"AE",2015,"water-and-sanitation","United Arab Emirates",80795153,"United Arab Emirates",80795156,-3.71309402681619e-08
"AE",2016,"agriculture-and-food-security","United Arab Emirates",48094140,"United Arab Emirates",48094160,-4.15851078738491e-07
"AE",2016,"banking-and-business","United Arab Emirates",49590,"United Arab Emirates",49590,0
"AE",2016,"education","United Arab Emirates",151925980,"United Arab Emirates",151925980,0
"AE",2016,"environment","United Arab Emirates",6073470,"United Arab Emirates",6073470,0
"AE",2016,"general-budget-support","United Arab Emirates",2447563590,"United Arab Emirates",2447563940,-1.42999348997507e-07
"AE",2016,"governance-security-and-civil-society","United Arab Emirates",6931890,,,
"AE",2016,"health","United Arab Emirates",182427220,"United Arab Emirates",182427220,0
"AE",2016,"humanitarian","United Arab Emirates",476409920,"United Arab Emirates",476409990,-1.46932288899442e-07
"AE",2016,"industry-and-trade","United Arab Emirates",5011340,"United Arab Emirates",5011340,0
"AE",2016,"infrastructure","United Arab Emirates",375142860,"United Arab Emirates",375142950,-2.39908604418061e-07
"AE",2016,"other","United Arab Emirates",386702440,"United Arab Emirates",386702350,2.32737088496261e-07
"AE",2016,"other-social-services","United Arab Emirates",162341740,"United Arab Emirates",162341700,2.46393810981698e-07
"AE",2016,"water-and-sanitation","United Arab Emirates",171722090,"United Arab Emirates",171722020,4.07635383426792e-07
"afdb",2002,"debt-relief","African Development Bank [AfDB]",133694096,,,
"afdb",2003,"debt-relief","African Development Bank [AfDB]",101266206,,,
"afdb",2004,"debt-relief","African Development Bank [AfDB]",164468330,,,
"afdb",2005,"debt-relief","African Development Bank [AfDB]",178054508,,,
"afdb",2006,"debt-relief","African Development Bank [AfDB]",189633611,,,
"afdb",2007,"debt-relief","African Development Bank [AfDB]",168986314,,,
"afdb",2008,"debt-relief","African Development Bank [AfDB]",162196583,,,
"afdb",2009,"debt-relief","African Development Bank [AfDB]",158401216,,,
"afdb",2010,"debt-relief","African Development Bank [AfDB]",119642572,,,
"afdb",2011,"agriculture-and-food-security","African Development Bank [AfDB]",1526165,,,
"afdb",2011,"banking-and-business","African Development Bank [AfDB]",1286021,,,
"afdb",2011,"debt-relief","African Development Bank [AfDB]",101326478,,,
"afdb",2011,"education","African Development Bank [AfDB]",1740776,,,
"afdb",2011,"environment","African Development Bank [AfDB]",42293,,,
"afdb",2011,"governance-security-and-civil-society","African Development Bank [AfDB]",626636,,,
"afdb",2011,"health","African Development Bank [AfDB]",1520274,,,
"afdb",2011,"industry-and-trade","African Development Bank [AfDB]",76724,,,
"afdb",2011,"infrastructure","African Development Bank [AfDB]",449636,,,
"afdb",2011,"other","African Development Bank [AfDB]",313233,,,
"afdb",2011,"other-social-services","African Development Bank [AfDB]",319491,,,
"afdb",2011,"water-and-sanitation","African Development Bank [AfDB]",1638859,,,
"afdb",2012,"agriculture-and-food-security","African Development Bank [AfDB]",1246313,,,
"afdb",2012,"banking-and-business","African Development Bank [AfDB]",224085,,,
"afdb",2012,"debt-relief","African Development Bank [AfDB]",95777672,,,
"afdb",2012,"education","African Development Bank [AfDB]",56893,,,
"afdb",2012,"environment","African Development Bank [AfDB]",53391,,,
"afdb",2012,"governance-security-and-civil-society","African Development Bank [AfDB]",591563,,,
"afdb",2012,"health","African Development Bank [AfDB]",181883,,,
"afdb",2012,"industry-and-trade","African Development Bank [AfDB]",112764,,,
"afdb",2012,"infrastructure","African Development Bank [AfDB]",1633409,,,
"afdb",2012,"other","African Development Bank [AfDB]",651659,,,
"afdb",2012,"other-social-services","African Development Bank [AfDB]",1638831,,,
"afdb",2012,"water-and-sanitation","African Development Bank [AfDB]",1555198,,,
"afdb",2013,"agriculture-and-food-security","African Development Bank [AfDB]",531678,,,
"afdb",2013,"banking-and-business","African Development Bank [AfDB]",1289819,,,
"afdb",2013,"debt-relief","African Development Bank [AfDB]",120582220,,,
"afdb",2013,"education","African Development Bank [AfDB]",107265,,,
"afdb",2013,"environment","African Development Bank [AfDB]",60232,,,
"afdb",2013,"governance-security-and-civil-society","African Development Bank [AfDB]",761462,,,
"afdb",2013,"health","African Development Bank [AfDB]",607110,,,
"afdb",2013,"industry-and-trade","African Development Bank [AfDB]",205721,,,
"afdb",2013,"infrastructure","African Development Bank [AfDB]",1078554,,,
"afdb",2013,"other","African Development Bank [AfDB]",710830,,,
"afdb",2013,"other-social-services","African Development Bank [AfDB]",1152206,,,
"afdb",2013,"water-and-sanitation","African Development Bank [AfDB]",1930264,,,
"afdb",2014,"agriculture-and-food-security","African Development Bank [AfDB]",2172322,,,
"afdb",2014,"banking-and-business","African Development Bank [AfDB]",494630,,,
"afdb",2014,"debt-relief","African Development Bank [AfDB]",111553100,,,
"afdb",2014,"education","African Development Bank [AfDB]",415208,,,
"afdb",2014,"governance-security-and-civil-society","African Development Bank [AfDB]",1272135,,,
"afdb",2014,"health","African Development Bank [AfDB]",539897,,,
"afdb",2014,"industry-and-trade","African Development Bank [AfDB]",313697,,,
"afdb",2014,"infrastructure","African Development Bank [AfDB]",1207985,,,
"afdb",2014,"other","African Development Bank [AfDB]",1684773,,,
"afdb",2014,"other-social-services","African Development Bank [AfDB]",1126089,,,
"afdb",2014,"water-and-sanitation","African Development Bank [AfDB]",2591122,,,
"afdb",2015,"agriculture-and-food-security","African Development Bank [AfDB]",2312869,,,
"afdb",2015,"banking-and-business","African Development Bank [AfDB]",479073,,,
"afdb",2015,"debt-relief","African Development Bank [AfDB]",109567111,,,
"afdb",2015,"education","African Development Bank [AfDB]",145553,,,
"afdb",2015,"governance-security-and-civil-society","African Development Bank [AfDB]",3136744,,,
"afdb",2015,"health","African Development Bank [AfDB]",316654,,,
"afdb",2015,"industry-and-trade","African Development Bank [AfDB]",566342,,,
"afdb",2015,"infrastructure","African Development Bank [AfDB]",3186110,,,
"afdb",2015,"other","African Development Bank [AfDB]",1788087,,,
"afdb",2015,"other-social-services","African Development Bank [AfDB]",152204,,,
"afdb",2015,"water-and-sanitation","African Development Bank [AfDB]",1542163,,,
"afdb",2016,"agriculture-and-food-security","African Development Bank [AfDB]",1694200,,,
"afdb",2016,"banking-and-business","African Development Bank [AfDB]",1710410,,,
"afdb",2016,"debt-relief","African Development Bank [AfDB]",146430400,,,
"afdb",2016,"education","African Development Bank [AfDB]",1602190,,,
"afdb",2016,"governance-security-and-civil-society","African Development Bank [AfDB]",2207990,,,
"afdb",2016,"health","African Development Bank [AfDB]",213340,,,
"afdb",2016,"humanitarian","African Development Bank [AfDB]",28130,,,
"afdb",2016,"industry-and-trade","African Development Bank [AfDB]",823820,,,
"afdb",2016,"infrastructure","African Development Bank [AfDB]",3457740,,,
"afdb",2016,"other","African Development Bank [AfDB]",954180,,,
"afdb",2016,"water-and-sanitation","African Development Bank [AfDB]",1252790,,,
"afdf",2002,"agriculture-and-food-security","African Development Fund [AfDF]",105359748,,,
"afdf",2002,"banking-and-business","African Development Fund [AfDF]",200084039,,,
"afdf",2002,"debt-relief","African Development Fund [AfDF]",172578524,,,
"afdf",2002,"education","African Development Fund [AfDF]",83583391,,,
"afdf",2002,"environment","African Development Fund [AfDF]",10109287,,,
"afdf",2002,"general-budget-support","African Development Fund [AfDF]",92773522,,,
"afdf",2002,"governance-security-and-civil-society","African Development Fund [AfDF]",104302187,,,
"afdf",2002,"health","African Development Fund [AfDF]",79784904,,,
"afdf",2002,"humanitarian","African Development Fund [AfDF]",13189968,,,
"afdf",2002,"industry-and-trade","African Development Fund [AfDF]",4930151,,,
"afdf",2002,"infrastructure","African Development Fund [AfDF]",128927829,,,
"afdf",2002,"other","African Development Fund [AfDF]",27847665,,,
"afdf",2002,"other-social-services","African Development Fund [AfDF]",5691980,,,
"afdf",2002,"water-and-sanitation","African Development Fund [AfDF]",32170970,,,
"afdf",2003,"agriculture-and-food-security","African Development Fund [AfDF]",93081137,,,
"afdf",2003,"banking-and-business","African Development Fund [AfDF]",54171703,,,
"afdf",2003,"debt-relief","African Development Fund [AfDF]",107369923,,,
"afdf",2003,"education","African Development Fund [AfDF]",50206764,,,
"afdf",2003,"environment","African Development Fund [AfDF]",4376986,,,
"afdf",2003,"general-budget-support","African Development Fund [AfDF]",111979828,,,
"afdf",2003,"governance-security-and-civil-society","African Development Fund [AfDF]",68737908,,,
"afdf",2003,"health","African Development Fund [AfDF]",38734272,,,
"afdf",2003,"humanitarian","African Development Fund [AfDF]",8797385,,,
"afdf",2003,"industry-and-trade","African Development Fund [AfDF]",5902270,,,
"afdf",2003,"infrastructure","African Development Fund [AfDF]",103996092,,,
"afdf",2003,"other","African Development Fund [AfDF]",26100923,,,
"afdf",2003,"other-social-services","African Development Fund [AfDF]",21546104,,,
"afdf",2003,"water-and-sanitation","African Development Fund [AfDF]",30807755,,,
"afdf",2004,"agriculture-and-food-security","African Development Fund [AfDF]",142166469,,,
"afdf",2004,"banking-and-business","African Development Fund [AfDF]",200132769,,,
"afdf",2004,"debt-relief","African Development Fund [AfDF]",184599584,,,
"afdf",2004,"education","African Development Fund [AfDF]",81914114,,,
"afdf",2004,"environment","African Development Fund [AfDF]",8932455,,,
"afdf",2004,"general-budget-support","African Development Fund [AfDF]",112288943,,,
"afdf",2004,"governance-security-and-civil-society","African Development Fund [AfDF]",122199635,,,
"afdf",2004,"health","African Development Fund [AfDF]",77524065,,,
"afdf",2004,"humanitarian","African Development Fund [AfDF]",9780171,,,
"afdf",2004,"industry-and-trade","African Development Fund [AfDF]",10379683,,,
"afdf",2004,"infrastructure","African Development Fund [AfDF]",163232551,,,
"afdf",2004,"other","African Development Fund [AfDF]",36868773,,,
"afdf",2004,"other-social-services","African Development Fund [AfDF]",32223617,,,
"afdf",2004,"water-and-sanitation","African Development Fund [AfDF]",27448494,,,
"afdf",2005,"agriculture-and-food-security","African Development Fund [AfDF]",169718877,,,
"afdf",2005,"banking-and-business","African Development Fund [AfDF]",11354620,,,
"afdf",2005,"debt-relief","African Development Fund [AfDF]",100116341,,,
"afdf",2005,"education","African Development Fund [AfDF]",61951770,,,
"afdf",2005,"environment","African Development Fund [AfDF]",8512420,,,
"afdf",2005,"general-budget-support","African Development Fund [AfDF]",152225658,,,
"afdf",2005,"governance-security-and-civil-society","African Development Fund [AfDF]",133972914,,,
"afdf",2005,"health","African Development Fund [AfDF]",62748994,,,
"afdf",2005,"humanitarian","African Development Fund [AfDF]",6578510,,,
"afdf",2005,"industry-and-trade","African Development Fund [AfDF]",7840228,,,
"afdf",2005,"infrastructure","African Development Fund [AfDF]",147129060,,,
"afdf",2005,"other","African Development Fund [AfDF]",98016450,,,
"afdf",2005,"other-social-services","African Development Fund [AfDF]",26741421,,,
"afdf",2005,"water-and-sanitation","African Development Fund [AfDF]",50405731,,,
"afdf",2006,"agriculture-and-food-security","African Development Fund [AfDF]",147764144,,,
"afdf",2006,"banking-and-business","African Development Fund [AfDF]",10716187,,,
"afdf",2006,"debt-relief","African Development Fund [AfDF]",8976760099,,,
"afdf",2006,"education","African Development Fund [AfDF]",66132052,,,
"afdf",2006,"environment","African Development Fund [AfDF]",8941975,,,
"afdf",2006,"general-budget-support","African Development Fund [AfDF]",131804491,,,
"afdf",2006,"governance-security-and-civil-society","African Development Fund [AfDF]",57850459,,,
"afdf",2006,"health","African Development Fund [AfDF]",81100370,,,
"afdf",2006,"humanitarian","African Development Fund [AfDF]",4942794,,,
"afdf",2006,"industry-and-trade","African Development Fund [AfDF]",4269581,,,
"afdf",2006,"infrastructure","African Development Fund [AfDF]",136933820,,,
"afdf",2006,"other","African Development Fund [AfDF]",75940896,,,
"afdf",2006,"other-social-services","African Development Fund [AfDF]",24060562,,,
"afdf",2006,"water-and-sanitation","African Development Fund [AfDF]",86414861,,,
"afdf",2007,"agriculture-and-food-security","African Development Fund [AfDF]",152072181,,,
"afdf",2007,"banking-and-business","African Development Fund [AfDF]",24557644,,,
"afdf",2007,"debt-relief","African Development Fund [AfDF]",317879480,,,
"afdf",2007,"education","African Development Fund [AfDF]",78879268,,,
"afdf",2007,"environment","African Development Fund [AfDF]",12014196,,,
"afdf",2007,"general-budget-support","African Development Fund [AfDF]",226740950,,,
"afdf",2007,"governance-security-and-civil-society","African Development Fund [AfDF]",100276719,,,
"afdf",2007,"health","African Development Fund [AfDF]",76441108,,,
"afdf",2007,"humanitarian","African Development Fund [AfDF]",4492970,,,
"afdf",2007,"industry-and-trade","African Development Fund [AfDF]",3929230,,,
"afdf",2007,"infrastructure","African Development Fund [AfDF]",152531241,,,
"afdf",2007,"other","African Development Fund [AfDF]",76206347,,,
"afdf",2007,"other-social-services","African Development Fund [AfDF]",23552332,,,
"afdf",2007,"water-and-sanitation","African Development Fund [AfDF]",139453916,,,
"afdf",2008,"agriculture-and-food-security","African Development Fund [AfDF]",249848339,,,
"afdf",2008,"banking-and-business","African Development Fund [AfDF]",5086832,,,
"afdf",2008,"debt-relief","African Development Fund [AfDF]",20461715,,,
"afdf",2008,"education","African Development Fund [AfDF]",109740273,,,
"afdf",2008,"environment","African Development Fund [AfDF]",7353486,,,
"afdf",2008,"general-budget-support","African Development Fund [AfDF]",287437140,,,
"afdf",2008,"governance-security-and-civil-society","African Development Fund [AfDF]",110625807,,,
"afdf",2008,"health","African Development Fund [AfDF]",102377356,,,
"afdf",2008,"humanitarian","African Development Fund [AfDF]",4148597,,,
"afdf",2008,"industry-and-trade","African Development Fund [AfDF]",1591981,,,
"afdf",2008,"infrastructure","African Development Fund [AfDF]",231444057,,,
"afdf",2008,"other","African Development Fund [AfDF]",329636278,,,
"afdf",2008,"other-social-services","African Development Fund [AfDF]",26317399,,,
"afdf",2008,"water-and-sanitation","African Development Fund [AfDF]",176782267,,,
"afdf",2009,"agriculture-and-food-security","African Development Fund [AfDF]",263869948,,,
"afdf",2009,"banking-and-business","African Development Fund [AfDF]",936423004,,,
"afdf",2009,"debt-relief","African Development Fund [AfDF]",681694374,,,
"afdf",2009,"education","African Development Fund [AfDF]",103155125,,,
"afdf",2009,"environment","African Development Fund [AfDF]",645752,,,
"afdf",2009,"general-budget-support","African Development Fund [AfDF]",384527522,,,
"afdf",2009,"governance-security-and-civil-society","African Development Fund [AfDF]",9691767,,,
"afdf",2009,"health","African Development Fund [AfDF]",98828444,,,
"afdf",2009,"industry-and-trade","African Development Fund [AfDF]",15488858,,,
"afdf",2009,"infrastructure","African Development Fund [AfDF]",406412680,,,
"afdf",2009,"other","African Development Fund [AfDF]",101235691,,,
"afdf",2009,"other-social-services","African Development Fund [AfDF]",22013386,,,
"afdf",2009,"water-and-sanitation","African Development Fund [AfDF]",186240953,,,
"afdf",2010,"agriculture-and-food-security","African Development Fund [AfDF]",336731967,,,
"afdf",2010,"banking-and-business","African Development Fund [AfDF]",46166790,,,
"afdf",2010,"debt-relief","African Development Fund [AfDF]",471953063,,,
"afdf",2010,"education","African Development Fund [AfDF]",112812851,,,
"afdf",2010,"environment","African Development Fund [AfDF]",6675453,,,
"afdf",2010,"general-budget-support","African Development Fund [AfDF]",287989160,,,
"afdf",2010,"governance-security-and-civil-society","African Development Fund [AfDF]",13725201,,,
"afdf",2010,"health","African Development Fund [AfDF]",72191814,,,
"afdf",2010,"infrastructure","African Development Fund [AfDF]",512654401,,,
"afdf",2010,"other","African Development Fund [AfDF]",87401581,,,
"afdf",2010,"other-social-services","African Development Fund [AfDF]",32469559,,,
"afdf",2010,"water-and-sanitation","African Development Fund [AfDF]",165731218,,,
"afdf",2011,"agriculture-and-food-security","African Development Fund [AfDF]",283163166,,,
"afdf",2011,"banking-and-business","African Development Fund [AfDF]",28016124,,,
"afdf",2011,"debt-relief","African Development Fund [AfDF]",354620,,,
"afdf",2011,"education","African Development Fund [AfDF]",83535828,,,
"afdf",2011,"environment","African Development Fund [AfDF]",12881709,,,
"afdf",2011,"general-budget-support","African Development Fund [AfDF]",377972280,,,
"afdf",2011,"governance-security-and-civil-society","African Development Fund [AfDF]",69811977,,,
"afdf",2011,"health","African Development Fund [AfDF]",79440346,,,
"afdf",2011,"humanitarian","African Development Fund [AfDF]",83877600,,,
"afdf",2011,"industry-and-trade","African Development Fund [AfDF]",1248060,,,
"afdf",2011,"infrastructure","African Development Fund [AfDF]",713249713,,,
"afdf",2011,"other","African Development Fund [AfDF]",42029276,,,
"afdf",2011,"other-social-services","African Development Fund [AfDF]",38250509,,,
"afdf",2011,"water-and-sanitation","African Development Fund [AfDF]",159525705,,,
"afdf",2012,"agriculture-and-food-security","African Development Fund [AfDF]",188563129,,,
"afdf",2012,"banking-and-business","African Development Fund [AfDF]",20678038,,,
"afdf",2012,"debt-relief","African Development Fund [AfDF]",499963815,,,
"afdf",2012,"education","African Development Fund [AfDF]",93762251,,,
"afdf",2012,"environment","African Development Fund [AfDF]",12842292,,,
"afdf",2012,"general-budget-support","African Development Fund [AfDF]",300418090,,,
"afdf",2012,"governance-security-and-civil-society","African Development Fund [AfDF]",51778820,,,
"afdf",2012,"health","African Development Fund [AfDF]",64332628,,,
"afdf",2012,"humanitarian","African Development Fund [AfDF]",324638,,,
"afdf",2012,"infrastructure","African Development Fund [AfDF]",722053370,,,
"afdf",2012,"other","African Development Fund [AfDF]",82598002,,,
"afdf",2012,"other-social-services","African Development Fund [AfDF]",12102320,,,
"afdf",2012,"water-and-sanitation","African Development Fund [AfDF]",156302202,,,
"afdf",2013,"agriculture-and-food-security","African Development Fund [AfDF]",167190001,,,
"afdf",2013,"banking-and-business","African Development Fund [AfDF]",41234039,,,
"afdf",2013,"debt-relief","African Development Fund [AfDF]",576712,,,
"afdf",2013,"education","African Development Fund [AfDF]",85379895,,,
"afdf",2013,"environment","African Development Fund [AfDF]",21942010,,,
